created_at;full_text;hour_of_publication;text_length;contains_keywords
2024-01-04 08:33:30+00:00;@engiepartsav vous m’avez demandé de venir en privé pour qu’on ne voit pas que vous ne répondez plus. ma facture est de septembre et vous me dites qu’il s’agit des consommations de septembre à décembre. j’attends toujours une explication.;8;238;1
2024-01-04 12:31:53+00:00;n’ayant pas twitter je passe par le compte d’un proche pour solliciter @engiepartfr qui me prélève et réclame des sommes aléatoires et faramineuses sans me prévenir en amont et sans jamais pouvoir les justifier. comment débloquer cette situation qui me pèse depuis des mois ?;12;275;0
2024-01-04 13:34:11+00:00;@engiepartsav @engiepartfr sommes arrivés à 624.32, je vous souhaite une bonne journée et compte sur moi pour commencer une guerre médiatique. merci encore pour votre attention.;13;177;0
2024-01-05 07:55:39+00:00;comme les afficher c’est ce qui marche, @engiepartsav @engiepartfr, vous deviez me rembourser dans un délai de 15j max selon vos dires, ça va faire 2 mois que j’attends mes sous!!!;7;180;1
2024-01-05 09:52:06+00:00;.@engiepartfr déjà une semaine et demi sans nouvelle de votre part. plus d’eau chaude. plus de chauffage. on fait comment pour avoir une réponse??? c’est quoi ce service client??? @engiegroup;9;191;1
2024-01-06 15:07:35+00:00;@engiepartfr bonjour,\nje vous ai envoyé un dm la semaine passée, sans aucune réponse de votre part. pourriez-vous avoir l'amabilité de porter un intérêt à mes questions sur des factures qui s'élèvent à 280€ pour le mois de novembre ? app. de 67m2 entièrement refait à neuf;15;273;1
2024-01-06 21:15:38+00:00;@brunolemaire deux questions: « moi , mes parents et grands parents ont payé les centrales nucléaires pourquoi ce prix de l’électricité ? »@engiegroup augmenter l’abonnement de 35% c’est à cause de la guerre en ukraine ou vs vs gavez bande de voleurs … j’attends vos retours !;21;276;0
2024-01-08 19:01:43+00:00;@engiepartsav bonjour @engiepartsav , l’appli #monpilotageelec nouveau bug, il fait -3 degrés #engie;19;100;1
2024-01-08 19:05:22+00:00;@engiepartsav #monpilotageelec bonsoir. l appli ne fonctionne pas ce soir: testé sur plusieurs téléphones. dès qu il fait froid on dirait que les serveurs plantent.;19;164;0
2024-01-08 19:18:30+00:00;c'est quand même curieux @engiepartfr \n, chaque fois qu'il y a une vague de températures négatives, l'application mon pilotage élec est en rade. ça fait 3 fois depuis le début de l'hiver. le pire c'est qu'on te dit que tu n'es pas connecté à internet. je suis en 5ghz 😂;19;270;0
2024-01-08 21:20:58+00:00;merci @engiepartfr pour son appli de réglage de chauffage connecté qui ne fonctionne pas, encore, durant cette vague de froid avec 2 enfants en bas âge !!!!;21;156;0
2024-01-08 22:50:52+00:00;@engiepartfr 4h que je peux rien faire avec votre appli et qu’il fait -4 dehors.\ndeuxième fois alors que je suis chez vous depuis 3 semaines. va falloir m’expliquer là;22;168;0
2024-01-09 07:17:31+00:00;l’appli #monpilotageelec est toujours ko ce matin @engiepartsav @engiepartfr;7;76;0
2024-01-09 12:19:53+00:00;le foutage de gueule de @engiepartfr, pour une maison de 96 m carré où on vit à 4 en pleine période de froid (normal pour la saison)... ah il n'y pas de risques qu'il me file la prime...;12;186;0
2024-01-10 19:09:32+00:00;@ninie949378 @78190trappes @cdc_habitat @villedetrappes @engieprofr @cdch_et_moi @alirabeh en panne de chauffage et d'eau chaude avec @cdch_et_moi @engiepartfr malgré des installations soi-disant neuves, rien ne fonctionne. #incompétence #problèmestechniques;19;258;3
2024-01-11 18:28:37+00:00;@engiepartfr \nbonsoir, serait-il possible d’avoir un contact? 10 jours pour avoir un rdv avec un technicien…une 🏠 à 16 degrés avec pompe à chaleur et 🏠 neuve,5 interventions,tjr pareil,ça devient insupportable sans compter le service client inutile et la facture edf salée 😤;18;275;2
2024-01-12 07:37:30+00:00;bon à savoir : lorsqu @engiepartfr intervient chez vous pour un changement de pièce banal, vous pouvez vous retrouver ensuite sans chauffage. on vous proposera ensuite un rdv dans 3 jours pour venir voir ce qui se passe;7;219;0
2024-01-12 10:09:53+00:00;le plus gros suspense de l’année 😳\n@engiepartfr;10;48;0
2024-01-12 10:21:17+00:00;@engiepartsav bonjour,\nplus de courant sur la commune de saint hilaire de clisson. une idée de ce qu'il se passe?;10;114;0
2024-01-12 11:06:59+00:00;#vendredicfini \nune cliente d’@engiepartfr a reçu un courrier de renouvellement de son offre de fourniture de gaz et d’électricité, sans mention des nouveaux prix de l'abonnement et du kwh. il contient seulement 8 pages d' « annexe de prix » 1/4 👇;11;248;0
2024-01-13 19:29:54+00:00;@engiegroup @engiepartfr pq vous mettez plusieurs jours pr envoyer qqun nous dépanner en plein hiver, en plus qqun qui vient qui n’a même pas la pièce qu’il faut on est sans eau chaude ni chauffage depuis 2 jours c’est inhumain de traiter les gens comme ça !!!!!!!!!!!!😡😡😡😡😡;19;274;1
2024-01-14 19:24:56+00:00;@y770_ @engiegroup @engiepartfr bienvenue au club. on attend toujours qu'ils nous recontactent...;19;97;0
2024-01-15 15:54:58+00:00;48h que nous avons demandé une intervention d'urgence dans notre immeuble @engieprofr @engiepartfr engie solutions engie home services et toujours rien...pourtant l'eau coule en continu depuis 48h et plus personne n'a de chauffage, y compris nos aimés de 90 ans vivants seuls ...;15;279;2
2024-01-16 08:18:21+00:00;@engiepartfr pourquoi engie envoie plus mes factures par la poste⁉️\nj'ai pas voulu leur dématerialisation‼️;8;108;1
2024-01-17 06:44:38+00:00;@cdch_et_moi @cdc_habitat @engiegroup accepteriez vous cela pour votre famille ?;6;80;0
2024-01-17 11:20:30+00:00;"🤢 attention engie rode ds nos quartiers. &lt;&lt; engie &gt;&gt; , 🫷,&lt;&lt;gdf, je n'ai à vendre. je vérifie vos contrats. vous n'avez rien à faire. juste à tel à engie pour prendre le duo gaz elec. &gt;&gt; 🫷à part ça vous n'avez rien à vendre !😡\n@edfofficiel @lcp @ufcquechoisir\n@engiepartfr";11;297;0
2024-01-17 11:23:05+00:00;dans un 60m2, avec un seul chauffage qui fonctionne 24h/24 et un autre uniquement la nuit. une tv, un frigo, une machine à laver et une plaque induction. on est d'accord que c'est absolument pas normal d'avoir une facture de 300 balles ???💀💀💀\n@engiepartfr faut me venir en aide;11;278;1
2024-01-17 13:45:59+00:00;@engiepartsav deux mois sans eau chaude !!! même en mettant en demeure votre agence d'amiens aucune réponse de vos services ! #arnaqueengie;13;139;1
2024-01-17 14:42:23+00:00;@engiegroup bonjour pourquoi j’ai une option électricité verte sur un contrat de gaz ? \nça fait 24 mois que vous me facturez 3€ en plus sur un contrat de gaz… \nvolez-vous vos clients ?;14;186;1
2024-01-19 09:24:28+00:00;@engiepartsav bonjour @engiepartfr , votre réponse est inadmissible . \nvous m'indiquez juste que vous pensez que le problème est pris en compte et vous nous communiquerez une date d'intervention. \nil neige en picardie et ma mère est sans chauffage par votre faute 😱 bougez vous !;9;281;1
2024-01-20 13:40:48+00:00;@latribune tu en penses quoi @engiepartfr ? j'ai hâte de voir ma mensualisation baisser après avoir presque doublée cette année 🙃;13;129;0
2024-01-21 11:20:05+00:00;nous sommes le 21 janvier 2024 et @engiepartsav @engiepartfr n'a toujours pas traité ni la résiliation ni le remboursement, ni le signalement @dgccrf. un niveau d'incompétence rare.;11;181;0
2024-01-21 17:21:23+00:00;@engiepartfr vu que le contact semble globalement compliqué, j'en suis réduit à devoir essayer ici. donc je récapitule : en décembre 2023 je constate une panne sur ma chaudière qui a été installée l'année dernière et que j'ai payée au prix fort. celle-ci ne fonctionnait plus.;17;276;1
2024-01-21 17:30:40+00:00;@engiepartsav bonjour, est-ce qu’il est possible de télécharger l’historique horaire de ses consommations d’électricité ? je n’obtiens qu’un fichier avec les relevés mensuels alors que l’option du suivi horaire est activée.;17;223;0
2024-01-22 08:55:16+00:00;@60millions @engiepartsav je ne sais pas non plus si @ufcquechoisir peut m'aider mais là de toute façon, j'irai voir mes pires ennemis si j'en avais. j'en ai marre !;8;165;0
2024-01-22 14:20:26+00:00;@engiepartfr @engiepartsav faire une demande d’intervention urgente pour une chaudière qui a lâché depuis samedi matin et s’entendre dire que les plannings sont pleins par une personne très désagréable au téléphone c’est ça votre sav ? pour rappel une urgence = immédiat.;14;271;1
2024-01-23 18:55:11+00:00;je pense qu’il faut vraiment remercier le gouvernement et monsieur @brunolemaire pour son doublé sur les nouveaux tarifs d’électricité.\n\nil a quand même réussi l’exploit de faire plus augmenter les tarifs qui sont les plus intéressants pour @enedis (les tarifs tempo et hp/hc).\n\nexploit d’autant plus remarquable que le gaz est maintenant moins taxé que l’électricité alors que c’est une énergie fossile émettrice de co2…\n\nun champion comme ça, il faut absolument le garder @gabrielattal !;18;495;0
2024-01-24 15:05:49+00:00;@chcuny @brunolemaire @enedis et encore, mon gaz a fait +37%, malgré une diminution de ma consommation de 25% et une baisse du coût global par les fournisseurs. faut que je regarde en détail mon contrat, je comprends pas non plus une tel augmentation @engiepartfr !;15;265;0
2024-01-24 22:42:50+00:00;vous m’expliquez @engiepartfr @engiepartsav ? depuis octobre vous me rajoutez entre 20 et 30€ par mois discrètement… mais je vous vois 👀\n#engie #electricite #arnaque;22;166;0
2024-01-24 23:24:18+00:00;@engiepartfr je passe de 122€ à 262€par mois, je dois payer 511€ de régulation, vous me faites payer une intervention d'un technicien jamais venu et a coté quand je vous contacte pour me dire qu'il y a un soucis personne se déplace? \nj'ai 33m² les kheys pas 230;23;262;1
2024-01-25 09:19:23+00:00;bonjour @engiepartfr , \nimpossible de se connecter sur l espace client de votre site. c est normal? j aimerais comprendre l aberration de ma facture.;9;150;1
2024-01-25 10:06:37+00:00;@engiepartsav bj, j'ai essayé de réglé son radiateur, il n'y a pas de mode d'emploi et j'ai pu enlever quelques pre-reglages, jai tout mis sur 15, il fait 17 degrés chez elle, je lui ai dit de tenir deux jours pour voir si ça change sa consommation journalière. d'ici lundi je vous contact, thx;10;294;0
2024-01-26 07:05:15+00:00;@engiepartsav bonjour,a quand un service client digne de ce nom?cela fait maintenant 5 ans que j’ai un compteur linky et tous les ans je relance vos services car il n’est pas communiquant,dénier en date 12/23,et tjrs rien.dites le si vous ne voulez rien faire;7;259;2
2024-01-26 12:58:44+00:00;"cher @engiepartsav @engiepartfr il m'a fallu +3ans avec les anciens proprio pour changer un compteur, des relances tous les mois et 3 rendez vous où vous n'êtes pas venu. depuis ça fait 4mois que vous étudiez une facture erronée et vos ""conseillers"" ne disent jamais la même chose";12;280;2
2024-01-27 14:07:13+00:00;@biduleanatheme @engiepartsav @dgccrf bonjour @biduleanatheme , nous sommes dans le même cas que vous vis à vis des escrocs de l’agence engie home services grand marseille. contrat de maintenance annuelle payé mais non honoré sans compter les rendez vous maintenance ou dépannage annulés ! courrier ar sans réponse;14;314;1
2024-01-27 14:16:11+00:00;bonjour @engiepartsav , que faut il faire pour que l’agence grand marseille traite enfin notre demande de remboursement d’un contrat de maintenance annuelle sécurité payé et jamais honoré ???;14;191;0
2024-01-27 14:20:33+00:00;@engiepartsav \nimpossible de joindre l’agence par téléphone ! pas de réponse aux différentes tentatives de contact y compris courrier ar. nous sommes toujours en attente d’un rappel qui ne vient jamais . une honte ! faut-il saisir la @dgccrf ? porter plainte pour escroquerie ?;14;278;1
2024-01-30 07:51:16+00:00;ça fait des mois qu’@engiepartfr me réclame 572,22€ sans me dire ce que c’est. facture de septembre rien du tout de cette somme et facture de novembre ça apparaît en report de la facture précédente. ça fait des mois et rien. et ils m’ont mis en recouvrement @engiepartsav;7;271;1
2024-01-30 12:09:47+00:00;@engiepartfr me menace de me réduire l’électricité si je ne paye pas une facture de régularisation de 533€… je veux bien la payer mais ils ne veulent pas que je paye en 5x uniquement en 2x… \nils sont méprisant et hautain. \npourquoi refusent-il de m’aider.\n#engie;12;265;1
2024-01-31 06:14:04+00:00;@engiepartfr hello @engiepartfr @engie cela fait un moment que le suivi de conso est cassé.\nelec + gaz.\nvous pouvez faire qqchose ?;6;133;0
2024-01-31 10:37:10+00:00;@engiepartfr engie, c'est aussi cette entreprise qui est capable de mettre en panne une chaudière chez une femme de 94 ans!... le pire étant, que les autorités judiciaire saisies, et la dgccrf, se gardent bien de venir soutenir cette femme seule, à poitiers!🤔pas touche engie 👋;10;277;1
2024-01-31 11:07:50+00:00;mais pas ma facture\nen 2020 je consommais 1694m3 et payais 1080€\nen 2021 j'installé un poêle à bois\nen 2023 j'ai consommé 1127m3(-33%)\net payé...1033€(-4%)\n@engiepartfr vs vs êtes foutu mes économies ds la poche! avec lesquelles je comptais acheter mon bois.\nquel bon business!;11;283;1
2024-01-31 13:04:45+00:00;@engiepartfr #foutagedegueule 🤬;13;31;0
2024-01-31 17:05:15+00:00;"en passant de 1% à 31% d’#energiesrenouvelables dans le mix énergétique d’@engiechile en 5 ans &amp; en annonçant notre sortie du charbon, @engiegroup décarbone son activité &amp; accélére la #transitionenergétique.\n🎯objectif 2026 : 60% d’#enr dans notre mix 🇨🇱.\nhttps://t.co/px4vmqvp5j";17;288;0
2024-01-31 17:17:08+00:00;@engiepartfr @engiegroup ⚠️⚠️⚠️⚠️⚠️⚠️j'appelle hier le service client pour un bug sur l'espace client au niveau du suivi conso. on devait me rappeler aujourd'hui. personne!!! je rappelle le service expliquant à nouveau mon problème on me transfère une autre personne qui s'étonne;17;279;3
2024-02-01 10:51:40+00:00;@engiepartfr bonjour, impossible de me connecter à l'espace pour devenir client. message d'erreur en pj. mon adresse ip est 5.149.182.50 cdt;10;140;1
2024-02-01 10:53:20+00:00;@engiepartsav bonjour, impossible de me connecter au site pour devenir client. ci-dessous le message d'erreur. mon adresse ip est 5.149.182.50 cdt;10;146;1
2024-02-01 14:19:47+00:00;@engiepartfr après avoir reçu mon rappel de charges de copropriété,je suis locataire, je vois 3500euros pour 90m3 d'eau chaude.appelant engie on me sors comme nous avons une chaudière pour le chauffage et l'eau et bien que le bouclier tarifaire ne s'appliquait que sur un seul🤬;14;277;0
2024-02-02 14:49:33+00:00;@engiepartsav 2 mois que j’appelle pour un rendez-vous d’entretien d’une clim gainable … 2 mois que vos téléoperateurs me promènent !! gros ras le bol ….;14;153;0
2024-02-02 17:45:18+00:00;@engiepartfr @engiesolutions @engiegroup j'ai un problème, veuillez me le régler rapidement svp !!!;17;99;1
2024-02-03 14:39:39+00:00;@engiepartfr cette #protectiondesdonnees est bafouée par vous en 1er. depuis que j’ai changé de fournisseur d’électricité, je reçois de multiples messages vocaux sur les économies d’électricité. vous avez un avis?;14;213;0
2024-02-05 08:38:46+00:00;@engiepartsav \n\nimpossible de me connecter à l espace client. vous utiliser le waf d' aws cloudfront. \nmon adresse ip se trouve dans le range 5.149.176.0/20 asn47548\nmerci de vérifier les logs du waf. les objets hostingproviderlist ou awsmanagedipreputationlist nous filtrent.;8;280;0
2024-02-05 09:29:59+00:00;@engiegroup @engiepartfr c'est top de mettre une application pour suivre notre consommation, mais si on peut jamais y accéder car ça bug tout le temps... aucun intérêt;9;167;1
2024-02-06 16:23:34+00:00;à équipements et utilisation similaires depuis 3 ans, voici mes factures @engiepartfr @engiegroup sur les 3 dernières années :\n2021 : 1070€\n2022 : 1152€\n2023 : 1594€\n\nl'enculerie c'est jusqu'où ?;16;200;1
2024-02-07 08:14:03+00:00;@engiepartfr vous êtes sérieux là???\n\n+ 100€/mois d'augmentation sur ma facture d'électricité?? \nvous êtes sérieux là???\nj'ai fait x2 sur ma facture !!! 😡\n\nfaut m'expliquer le délire car ca va clairement pas être possible 😡;8;229;1
2024-02-07 22:50:54+00:00;bon, il me semble que @engiepartfr ont 1 soucis avec le suivi conso car, idem, mon père a eu une enorme différence sur sa facture par rapport à sa conso donnée par le suivi.\ndonc quand on nous dit qu'on peut savoir sa conso en temps réel...;22;241;2
2024-02-08 07:34:02+00:00;la regul d'électricité a 600€ pour un 40m2 en chauffant à même pas 18 degrés... ça va être super 2024, merci @engiepartfr;7;121;0
2024-02-09 07:11:50+00:00;@engiepartfr une simple question dans vos factures il y a les frais de la gestion de votre appli mobile et votre site internet pour connaître notre consommation ? si oui vous me devez un gros geste commercial. parce que sur les deux impossible de s'informer\n#engie;7;265;1
2024-02-09 09:12:14+00:00;@engiepartfr y’a votre appli qui est en carafe depuis 4 jours et ça commence à me saouler de ouf;9;96;0
2024-02-09 19:47:47+00:00;@engiepartfr entre menteur et voleur. 3 mois pour que #engie m'explique qu'ils ont du augmenter mon abonnement gaz , sans me prévenir, de 30% ... a 334€/an on est loin des tarifs annoncés sur votre site .;19;204;0
2024-02-09 21:24:40+00:00;@engiepartfr vous jouez avec moi ou quoi c’est quoi ce bordel ? reprenez vous vous allez pas nous voler comme ça, cest scandaleux! #engie #arnaques;21;147;1
2024-02-10 20:46:06+00:00;@juliendoclot @engiepartfr c'est pire ?!;20;40;0
2024-02-11 21:49:58+00:00;happ-e by @engiepartfr qui me prélève deux fois sur un même compteur qu’ils étaient censé me clotûrer suite à leur erreur. et qui répondent pas par le service client. donc sur un même linky j’ai deux factures happe (qui devraient pas exister) + 1 engie. ça va sinon ?;21;267;3
2024-02-12 10:28:06+00:00;c'est marrant, on consomme moins mais @engiepartfr augmente tellement ses tarifs que les mensualités augmentent quand même...\n+26€ par mois. quel plaisir 👌;10;156;0
2024-02-12 12:21:19+00:00;#engie \n@engieprofr @engiepartsav \n\nc’est bon ! on arrête de jouer \n#harcelement \nsuis-je la seule à recevoir ces offres débiles?\net aucun lien ne fonctionne pour se désabonner \n#ledivorceinterdit \nharcèlement abusif;12;224;1
2024-02-12 14:10:07+00:00;@engiepartsav vous n'êtes pas capables de tenir vos engagements contractuels et laissez délibérément des foyers sans eaux chaudes !;14;131;0
2024-02-13 11:32:58+00:00;@atlanticfrance @engiepartfr @atlanticfrance pendant ce temps là, nous avons un ballon en mode secours, qui consomme donc plus. a qui doit on s'adresser pour que ça bouge enfin ? le manque de communication entre toutes les unités nous met dans une position dans laquelle nous n'avons rien demandé.;11;297;0
2024-02-13 11:50:41+00:00;@engiepartsav bonjour, je l'ai déjà fait le 25 janvier, et je n'ai toujours pas reçu de réponse. d'ailleurs voici le numéro de ma réclamation dem2401-62362811 .;11;160;0
2024-02-13 17:14:49+00:00;super déçu du service d'@engiepartfr censée revenir vers nous pour des travaux sur une chaudière, depuis une semaine... résultat, pas de chauffage, pas d'eau chaude... la galère...;17;180;1
2024-02-14 09:11:26+00:00;@engiepartfr vous faites des pubs tv, avec tout le topo commercial mais vous ne répondez pas à la question : le chauffage on allume , on baisse ou on éteint? pareil pour le sèche-cheveux. merci;9;193;0
2024-02-15 17:35:06+00:00;@engiepartfr vous êtes des voleurs !\ncela ne vous dérange pas d'augmenter vos tarifs de presque 50% en période d'inflation ?\n\njanvier 2023 : 360 € pour 2397 kwh\njanvier 2024 : 677 € pour 2355 kwh\n\n@ufcquechoisir @med_energie @rolandlescure;17;245;0
2024-02-17 09:54:15+00:00;belle méthode @engiepartfr ! @engiegroup. \npour l’histoire, nous avons été démarché par un de vos commerciaux qui nous annonce 135€/mois. \nune fois le contrat signé nous sommes à 240€/mois. \n\nmerci pour la franchise de la personne du service client qui nous dis la vérité !;9;277;1
2024-02-17 19:29:27+00:00;en 2024 l'électricité s'envole avec @engiepartfr\n\nj'attends qu'il corrige...;19;78;0
2024-02-18 21:24:34+00:00;@engiepartfr vous pensez qu’un jour votre appli marchera correctement ? c’est ça toutes les semaines…;21;101;0
2024-02-19 11:47:20+00:00;@engiepartfr pouvez-vous confirmer la hausse que vous allez appliquer ?\nautour de moi, personne n'a été informé.;11;113;0
2024-02-19 12:37:10+00:00;merci ⁦@engiepartfr⁩ chauffe presque pas.maxi 19,5degres racket et en marche 😡😡😡🤪;12;81;0
2024-02-19 13:08:30+00:00;belle surprise en rentrant de vacances… 800€ d’électricité alors que ma consommation n’a pas changé depuis deux mois. \nje ne veux pas être grossière mais là @engiepartfr se fout de nous. \nils ont clôturé 2023 avec un bénéfice de 4 milliards d’€ ! \n#refusedepayertafacture;13;274;1
2024-02-20 07:26:15+00:00;@engiegroup @engiepartfr vous pouvez me mp svp ?;7;48;0
2024-02-20 10:32:44+00:00;dites donc @engiepartfr c'est normal que mon tarif gaz passe de 9 à 13 centimes le kwh en plein contrat de 3 ans (signé en mars 2022) ?;10;135;0
2024-02-20 17:26:46+00:00;coucou @engiepartfr ça va tranquille les augmentations sur le coût d'un abonnement ?! 120€ de plus en 2 ans !;17;109;0
2024-02-21 17:46:23+00:00;bonjour @engiegroup et @edfofficiel.\n\naujourd'hui, j'ai reçu 2 appels frauduleux usurpant le nom de vos entreprises afin de tenter de me soutirer des informations (même en étant sur bloctel).\n\nc'est vraiment pénible.\n\navez-vous un service juridique que ça peut intéresser ?\n\n1/2;17;286;1
2024-02-21 18:39:59+00:00;@engiepartfr qui augmente mes mensualités de 42€ par mois .. en deux ans mes mensualités ont doublé pour exactement la même conso. en 2025 je passe à 250€ par mois c’est ça ?;18;174;0
2024-02-22 08:38:16+00:00;#engie #enedis @engiepartfr @engiegroup @enedis @enedis_clients @enedis_paris \n200€ pour 30m2 avec des équipements neufs ?! des factures énormes, incohérentes qui augmentent de 20€ en 24h ?!?!\n/!\ nous attendons des explications claires et rapides avant de passer à la justice!;8;279;1
2024-02-22 11:06:34+00:00;@engiepartfr @enedis_clients @enedis @engiepartfr arnaquent les particuliers, des factures incoherentes et un personnel incapable de fournir des explications.\ncette consommation est impossible pour 30m2 et le chauffage éteint !!\nexpliquez vous ‼️‼️;11;250;1
2024-02-22 12:05:34+00:00;merci pour ces précieuses informations @engiepartfr 😅;12;53;0
2024-02-23 10:38:19+00:00;il est 11h38, il te reste 22 minutes dépêche-toi @engiepartfr 👀;10;63;0
2024-02-25 09:25:19+00:00;@engiepartfr c'est sympa de changer le contrat pour me le facturer plus cher alors que je n'ai rien demandé! c'est de la fraude!;9;128;1
2024-02-25 12:30:35+00:00;@engiepartfr n’est pas\ncapable de nous fournir les factures sur 1 an mais en plus \nimpossible de les joindre puis ils osent nous dire qu’ils plafonnent les prix et on se fait truander de 25% d’augmentation \ncomment on a pu en arriver la \n@60millions \n@courbet_julien \n@litigefr;12;283;1
2024-02-26 07:52:23+00:00;en france, c'est apparemment possible d'être sans chauffage ni eau chaude durant trois jours, en hiver alors qu'il fait moins de dix degrés dans la maison. merci engie. @engiepartfr;7;181;0
2024-02-26 08:44:39+00:00;ça fait des mois que @engiepartsav me réclame 572,22€ sans savoir me dire ce qu’est cette somme. mes abonnements et consommations ont été payés et cette somme qui sort de nulle part. je sens que je vais partir et dire bonjour à @edfofficiel;8;240;0
2024-02-27 07:45:24+00:00;je découvre dans les comms que je ne suis pas la seule à me faire tabasser par @engiepartfr \nok je suis dans une 🏠 pas super isolée, en chauffant a minima pour pas être obligée d'être en pull/plaid/chaussettes en sdb et chambre c'est 300€/mois, idem ceux en appart' visiblement;7;278;0
2024-02-27 10:00:11+00:00;✅❌ vrai ou faux ?\n\nbaisser le chauffage d'un degré permet de réaliser environ 7% d'économies d'énergie.\n\nla réponse demain sur @engiepartfr ! 😉;10;147;0
2024-02-27 14:02:46+00:00;@engiepartfr le site est en panne depuis 2 jours … quand pourrons nous y avoir accès s’il vous plaît;14;100;1
2024-02-28 06:08:47+00:00;@engiepartfr je vous hais c'est pas possible d'être aussi con ma parole vous servez à rien on a beau vous appeler 10 fois vous régler jamais le problème ! 700€ de prélevé comme ça alors que la facture est une erreur d'après vos dires, allez vous faire foutre;6;258;3
2024-02-28 07:43:16+00:00;@engiepartfr 3 semaines pour traiter un dossier et recevoir une pièce (disponible en 2 jours chez cedeo).\npas d'eau chaude et de chauffage en plein hiver et ils s'en foutent royalement. on se rend compte que l'on paie un abonnement d'entretien sans aucun service derrière...;7;275;1
2024-02-28 09:31:22+00:00;@engiepartfr c'est normal que vos employés nous racroche au nez???;9;66;0
2024-02-28 12:00:04+00:00;@engiepartfr c'est déjà fait !;12;30;0
2024-02-28 12:38:31+00:00;@engiepartfr 2 rdv annulés en novembre et décembre 2023, puis enfin un rdv lundi avec un technicien pour l’entretien annuel de ma chaudière et depuis lundi que des problèmes alors que ma chaudière allait très bien avant ça;12;222;1
2024-02-28 15:01:56+00:00;@engiepartfr scandaleux d'augmenter la mensualité des clients de 124% sans prévenir, jouer avec l'argent des clients comme ça c'est scandaleux, sans compter les prélèvements sans que ni tête. sans un appel rapidement du service concerné comme demandé ce sera ciao.;15;264;2
2024-02-28 15:48:46+00:00;@engiepartfr à quel moment peut on dire à quelqu’un qui s’interroge sur sa facture que sa demande ne rentre pas dans les 3 min et qui sort,en plus, vous m’avez fait ouvrir des onglets et télécharger des documents pour rien…;15;223;1
